CIE_Escola,Anos_Iniciais,Anos_Finais,Ensino_Medio,EJA_Anos_Iniciais,EJA_Anos_Finais,EJA_Ensino_Medio,Ensino_Infantil
306526,2,2,0,1,1,1,1
434000,3,1,0,0,0,0,0
421868,3,2,0,3,1,1,0
477783,1,1,0,1,0,0,0
100201,2,2,0,1,1,1,0
100389,1,0,0,0,0,0,0
100249,2,2,0,1,1,1,1
469786,5,4,0,0,0,0,0
925135,5,4,3,0,0,0,0
559210,9,5,3,3,1,1,1
417439,4,3,2,1,1,0,0
103100,5,4,3,0,0,0,0
